ZIP Code,Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom
90278,"$2,210 ","$2,480 ","$3,130 ","$3,980 ","$4,410 "
90280,"$1,600 ","$1,810 ","$2,290 ","$2,940 ","$3,240 "
90290,"$2,790 ","$3,120 ","$3,940 ","$5,010 ","$5,560 "
90291,"$2,790 ","$3,120 ","$3,940 ","$5,010 ","$5,550 "
90292,"$2,790 ","$3,120 ","$3,940 ","$5,010 ","$5,550 "
90293,"$2,670 ","$3,000 ","$3,780 ","$4,800 ","$5,330 "
90294,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90295,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90296,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90301,"$1,650 ","$1,860 ","$2,340 ","$2,970 ","$3,300 "
90302,"$1,750 ","$1,970 ","$2,480 ","$3,150 ","$3,490 "
90303,"$1,600 ","$1,810 ","$2,290 ","$2,940 ","$3,240 "
90304,"$1,600 ","$1,810 ","$2,290 ","$2,940 ","$3,240 "
90305,"$1,890 ","$2,120 ","$2,680 ","$3,410 ","$3,780 "
90306,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90307,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90308,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90309,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90310,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90401,"$2,760 ","$3,100 ","$3,910 ","$4,970 ","$5,510 "
90402,"$2,340 ","$2,620 ","$3,310 ","$4,210 ","$4,660 "
90403,"$2,530 ","$2,840 ","$3,580 ","$4,550 ","$5,040 "
90404,"$2,010 ","$2,250 ","$2,840 ","$3,610 ","$4,000 "
90405,"$2,120 ","$2,380 ","$3,000 ","$3,810 ","$4,230 "
90406,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90408,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90409,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90501,"$1,750 ","$1,970 ","$2,480 ","$3,150 ","$3,490 "
90502,"$1,840 ","$2,060 ","$2,600 ","$3,300 ","$3,660 "
90503,"$2,190 ","$2,460 ","$3,100 ","$3,940 ","$4,370 "
90504,"$2,140 ","$2,400 ","$3,030 ","$3,850 ","$4,270 "
90505,"$2,120 ","$2,380 ","$3,000 ","$3,810 ","$4,230 "
90506,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90507,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90508,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90509,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90510,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90601,"$1,720 ","$1,930 ","$2,440 ","$3,100 ","$3,440 "
90602,"$1,680 ","$1,890 ","$2,380 ","$3,020 ","$3,350 "
90603,"$2,220 ","$2,490 ","$3,140 ","$3,990 ","$4,420 "
90604,"$1,800 ","$2,020 ","$2,550 ","$3,240 ","$3,590 "
90605,"$1,800 ","$2,010 ","$2,540 ","$3,230 ","$3,580 "
90606,"$1,850 ","$2,080 ","$2,620 ","$3,330 ","$3,690 "
90607,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90608,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90609,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90610,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90623,"$2,170 ","$2,270 ","$2,680 ","$3,630 ","$4,330 "
90630,"$2,210 ","$2,310 ","$2,730 ","$3,690 ","$4,410 "
90631,"$1,980 ","$2,110 ","$2,510 ","$3,400 ","$4,030 "
90637,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90638,"$2,100 ","$2,350 ","$2,970 ","$3,770 ","$4,190 "
90639,"$2,100 ","$2,350 ","$2,970 ","$3,770 ","$4,190 "
90640,"$1,650 ","$1,860 ","$2,340 ","$2,970 ","$3,300 "
90650,"$1,730 ","$1,940 ","$2,450 ","$3,110 ","$3,450 "
90651,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90652,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
